"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1323","Deberia NAVEGAR Y BUSCAR OTRO ELEMENTO EN ESPECIFICO","Segunda Prueba","2026-02-26","passed","2026-02-26","","","",""
"","2138","Debería navegar y seleccionar checkboxes","Checkboxes practica","2026-02-26","passed","2026-02-26","","","",""
"","1132","Deberiamos de validar un titulo sin que se vea en el navegador","Mi prueba invisible","2026-02-26","passed","2026-02-26","","","",""
"","1383","debería de abrir una página para verificar el título","Mi primera prueba de automatización","2026-02-26","passed","2026-02-26","","","",""
"","1962","Debería de hacer el login en el formulario","Interacción para un login","2026-02-26","passed","2026-02-26","","","",""
"","1574","Deberiamos de navegar y verificar un elemento especifico","Prueba Final","2026-02-26","passed","2026-02-26","","","",""
"","2472","Debería hacer login en el formulario","Interaccion de login con dotenv","2026-02-26","passed","2026-02-26","","","",""
"","0","Debería de mostrar un error si busco algo malo","Busqueda sin resultados","2026-02-26","passed","2026-02-26","","","",""
"","1172","Deberiamos de validar un titulo sin que se vea en el navegador","Mi prueba invisible","2026-02-26","passed","2026-02-26","","","",""
"","2716","Debería de hacer el login en el formulario","Interacción para un login","2026-02-26","passed","2026-02-26","","","",""
"","2975","Debería hacer login en el formulario","Interaccion de login con dotenv","2026-02-26","passed","2026-02-26","","","",""
"","1","Debería de mostrar un error si busco algo malo","Busqueda sin resultados","2026-02-26","passed","2026-02-26","","","",""
"","2018","Deberia navegar y buscar otro elemento para practica","Practica ","2026-02-26","passed","2026-02-26","","","",""
"","2800","Debería navegar y seleccionar checkboxes","Checkboxes practica","2026-02-26","passed","2026-02-26","","","",""
"","554","Debería buscar ""WEBDRIVERIO"" en google","Prueba en Google","2026-02-26","failed","2026-02-26","","","",""
"","638","Debería buscar ""WEBDRIVERIO"" en google","Prueba en Google","2026-02-26","failed","2026-02-26","","","",""
"","1540","Deberia NAVEGAR Y BUSCAR OTRO ELEMENTO EN ESPECIFICO","Segunda Prueba","2026-02-26","passed","2026-02-26","","","",""
"","1322","Deberiamos de navegar y verificar un elemento especifico","Prueba Final","2026-02-26","passed","2026-02-26","","","",""
"","153","Debería seleccionar la opción dos del Dropdown","Practica ","2026-02-26","passed","2026-02-26","","","",""
"","1138","Debería de navegar a Google","Prueba en Google","2026-02-26","passed","2026-02-26","","","",""
"","224","Debería seleccionar la opción dos del Dropdown","Practica ","2026-02-26","passed","2026-02-26","","","",""
"","1183","debería de abrir una página para verificar el título","Mi primera prueba de automatización","2026-02-26","passed","2026-02-26","","","",""
"","1866","Deberia navegar y buscar otro elemento para practica","Practica ","2026-02-26","passed","2026-02-26","","","",""
"","905","Debería de navegar a Google","Prueba en Google","2026-02-26","passed","2026-02-26","","","",""
